Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,,,,x,Schweinswalerfassung im Niedersächsischen Wattenmeer,https://www.govdata.de/daten/-/details/1ff1ec15-3c19-493a-820c-15f8dbd1e395,dl-de-by-1.0,WMS,d
,,,,,,,,,,x,,,,,,Schweinswalerfassung im Niedersächsischen Wattenmeer,https://www.govdata.de/daten/-/details/bd149cc2-7441-4d1d-b357-785feafe56ca,other-open,WMS,d
,,x,,,x,,,,,x,,,,,,Erfassung des Schweinswalbestandes im niedersächsischen Küstenmeer 2008 (UIG),https://www.govdata.de/daten/-/details/670a083e-60f6-44aa-99c9-350b6ed14e53,other-closed,"WMS,WFS,ZIP,XML",d
,,x,,,x,,,,,x,,,,,,Biotoptypen im Bereich des Land Wurstens (Nord) und Cuxhaven,https://www.govdata.de/daten/-/details/7d3eb482-e11e-4563-af5c-040b753e8aee,other-closed,"WMS,WFS",d
,,x,,,x,,,,,x,,,,,,Erfassung des Schweinswalbestandes im niedersächsischen Küstenmeer 2010 (UIG),https://www.govdata.de/daten/-/details/bb9b7d51-c29a-429d-989d-4b1a94a2a83c,other-closed,"WMS,WFS,ZIP,XML",d
