Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, Landkreis Bad Dürkheim –",http://www.daten.rlp.de/dataset/b58c301f-7e51-4078-9f59-aa165f740c7e,dl-de-by-1.0,PDF,d
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, Landkreis Bad Dürkheim –",http://www.daten.rlp.de/dataset/d3607bc3-66aa-427c-9681-ea2bafff71c2,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaftliche Entwicklungspotenziale, Landkreis Bad Dürkheim –",http://www.daten.rlp.de/dataset/889bfefa-8631-4450-a802-91806dc4f116,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaft, Landkreis Bad Dürkheim –",http://www.daten.rlp.de/dataset/6d196107-0528-42b8-9311-9c43f68ea03b,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Datenkompass – Bevölkerung und Gebiet, Haushalte und Familien, Landkreis Bad Dürkheim –",http://www.daten.rlp.de/dataset/cd991b13-e28e-4992-91fc-48b7a52ddb73,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, Landkreis Bad Dürkheim -",http://www.daten.rlp.de/dataset/e14fca96-1956-47cf-9d0e-e58f778b2bac,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, VG-Ebene, Landkreis Bad Dürkheim -",http://www.daten.rlp.de/dataset/8a5766d9-cc35-4108-ac06-4589022159b6,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Arbeitsmarkt, Erwerbstätigkeit, Landkreis Bad Dürkheim –",http://www.daten.rlp.de/dataset/213007e3-09bc-4a1c-90d0-6c4ae85063de,dl-de-by-1.0,PDF,d
,x,,,,,,,,,,,,,,,"Datenkompass – Erziehung und Bildung, Landkreis Bad Dürkheim –",http://www.daten.rlp.de/dataset/fafc314f-515a-49a4-95fa-107a0f29a2b7,dl-de-by-1.0,PDF,d
