Quelle,Stadt,Dateibezeichnung,Format,Beschreibung,Zeitlicher Bezug,Lizenz,Kosten,Veröffentlichende Stelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert,keyword,URL
d,wennigsen.net,Kanalbaubeitraege.csv,CSV,Kanalbaubeiträge,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,,x,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Kanalbaubeitraege.csv
d,wennigsen.net,bauantraege.csv,CSV,Bauanträge,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,x,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_bauantraege.csv
d,wennigsen.net,Gruener_Faden.gpx,GPX,,2013,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/Gruener_Faden.gpx
d,wennigsen.net,Kreditaufnahmen_Verpflichtungser.csv,CSV,Kreditaufnahmen und Verpflichtungser Haushalte,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,x,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Kreditaufnahmen_Verpflichtungser.csv
d,wennigsen.net,Test_data.xls,XLS,Metadatenkatalog - Beschreibung der Datensätze,2013,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,,,,,,,,x,,,http://data.wennigsen.net/Test_data.xls
d,wennigsen.net,Steuersaetze.csv,CSV,Steuersätze,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,x,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Steuersaetze.csv
d,wennigsen.net,Schuldenstand.csv,CSV,Schuldenstand,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,x,,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_Schuldenstand.csv
d,wennigsen.net,ordnugswidrigkeiten.csv,CSV,Ordnungswidrigkeiten,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,x,,,,,,,,,x,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_ordnugswidrigkeiten.csv
d,wennigsen.net,groesse_gemeindegebiet.csv,CSV,Größe des Gemeindegebiets,2002-2012,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,x,,,,,,,,,,,,,,,,,,Verwaltung,http://data.wennigsen.net/2013_02_09_groesse_gemeindegebiet.csv
d,wennigsen.net,Oeffnungszeiten_Zulassungsstelle.csv,CSV,Öffnungszeiten der Zulassungsstelle,2013,CC-BY 3.0,,Gemeinde Wennigsen (Deister),,,,,,,,,,,,,,,,,,,,,x,,Verwaltung,http://data.wennigsen.net/2013_01_14_Oeffnungszeiten_Zulassungsstelle.csv
