Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,x,,,,,,,,,Stadtratswahl 2004 - Endgültiges Ergebnis,http://www.gera.de/fm/sixcms/193/KW04.XLS,nicht bekannt,XLS,b
,,,,,,,,,x,,,x,,,,INVESTITIONSPLANUNG,http://www.gera.de/fm/sixcms/193/2013-06-06%20NVP%202013%20-%20Anlage%202.xls,nicht bekannt,XLS,b
x,x,,,,,,,,,,,,,x,,Zusammenfassung der Ausgezeichneten seit 1992,http://www.gera.de/fm/sixcms/193/Zusammenfassung%20Ausgezeichnete%20seit%201992.xls,nicht bekannt,XLS,b
