Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,x,,,,,,,,,,Wassersportanlagen,http://www.opendata-hro.de/dataset/9e6df860-7eb4-4c5c-906a-632b6dfcec9d,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
x,,,,,,,,,,,,x,,,,Bevölkerungsstruktur 2008,http://www.opendata-hro.de/dataset/0c09f284-6b90-402b-83c8-5eefdb381bbe,odc-by,"XLSX,CSV,JSON",d
,,,,,,,x,,,,,,,,,Europaparlamentswahl 2004,http://www.opendata-hro.de/dataset/ef69aa52-2315-4ec4-a62c-a625834e5fa9,odc-by,"CSV,XLSX,JSON",d
x,,,,,,,,,,,,x,,,,Bevölkerungsstruktur 2012,http://www.opendata-hro.de/dataset/de4cc79a-137f-4467-b5c3-302d2d465f07,odc-by,"XLSX,CSV,JSON",d
x,,,,,,,,,,,,x,,,,Bevölkerungsstruktur 2011,http://www.opendata-hro.de/dataset/92437de0-a730-428a-921d-1d9c418072d6,odc-by,"XLSX,CSV,JSON",d
,x,,,,,x,,,,,,,,,,Musik- und Tanzschulen,http://www.opendata-hro.de/dataset/5f3d484a-4831-4e2a-916f-713c6f35dc94,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,x,x,,,,,,Pedelec-Ladestationen,http://www.opendata-hro.de/dataset/c9e556d8-a04e-418a-be98-bbe32a8f716b,odc-by,"CSV,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,,x,,,,,,Fernwärmevorranggebiete,http://www.opendata-hro.de/dataset/02155f4b-ccf3-4f55-a08a-ee512773677d,odc-by,"CSV,GEOJSON,SHAPEFILE,KML,GML,WMS",d
x,,,,,,,,x,,,,,,,,Kinderbetreuungseinrichtungen,http://www.opendata-hro.de/dataset/def01e2f-270d-450d-a329-557e635c37d5,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,,,x,,x,,,Bau- und Gartenmärkte,http://www.opendata-hro.de/dataset/e6b84bd2-339a-43c2-94b8-b92a3f0dc4b9,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,x,,,,,,,,,,x,,,,Statistische Bezirke,http://www.opendata-hro.de/dataset/299dbf43-3fb5-471f-a0fa-2c8b7ce9e19c,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,x,,,,,x,,,,,,,,,Bürgerschaftswahl 2014,http://www.opendata-hro.de/dataset/31e6734c-84dd-4671-9b19-680910ebc0db,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,x,,,,,,,,,,,,,,,Universität,http://www.opendata-hro.de/dataset/36d8b5ec-78ac-4c41-b948-f328bdb41e86,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,x,,,,,,,,,,x,,,,Stadtbereiche,http://www.opendata-hro.de/dataset/aa692117-79fb-4d7a-87f9-d84db751aa3f,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,x,,,,,,,,,x,,,Kliniken,http://www.opendata-hro.de/dataset/f40a0952-1f55-4ac6-bc75-45c15c9d2365,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,x,x,,,,,,Fahrradabstellanlagen,http://www.opendata-hro.de/dataset/65ed5731-5b2a-4482-bf81-95a66d3c2a7e,odc-by,"CSV,GEOJSON,KML,GML,WMS",d
,x,,,,,x,,,,,,,,,,Sehenswürdigkeiten,http://www.opendata-hro.de/dataset/38c996e9-bcca-46b1-82ac-e1996fd63435,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,x,,,,,,,,,,Bänke,http://www.opendata-hro.de/dataset/5ca49844-a899-4690-b163-bd0de889ffd6,odc-by,"CSV,GEOJSON,KML,GML,WMS",d
,,,,,x,x,,,,,,,,,,Sporthallen,http://www.opendata-hro.de/dataset/ccaafa29-7055-4d14-933a-2f8feed30a3d,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,x,,,,x,,,,,,Parkanlagen,http://www.opendata-hro.de/dataset/a9486089-80ce-43ae-87fd-97f81260f34c,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,,,x,,,,,,,,,,Gerätespielanlagen,http://www.opendata-hro.de/dataset/035c3b2e-3704-4afc-ad2d-6eeb80ec411e,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,,x,,,,,,Windenergieanlagen,http://www.opendata-hro.de/dataset/8da7047b-cd29-463d-b2b5-bb39efdcc524,odc-by,"CSV,GEOJSON,KML,GML,WMS",d
x,,,,,,,,x,,,,,,,,Kinder- und Jugendbetreuung,http://www.opendata-hro.de/dataset/8604e283-9439-4009-9139-67031fcfb2d8,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,,,,,,x,,,,Adressenliste,http://www.opendata-hro.de/dataset/310d8444-01f6-4432-aed1-4cd6d3b93f95,odc-by,"CSV,XLSX,JSON,WMS",d
,,x,,,,,x,,,,,,,,,Oberbürgermeisterwahl 2012,http://www.opendata-hro.de/dataset/0b21dcd5-802a-4250-911f-2d70cff2e3ea,odc-by,"CSV,XLSX,JSON,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,,,,,,x,,,,,,,Haltestellen,http://www.opendata-hro.de/dataset/fffea4a8-e55a-4b91-a53b-a9d598a7acfa,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,,,x,,,,,,,,,Bürgerschaftswahl 2004,http://www.opendata-hro.de/dataset/c3cadd4c-b27d-40d7-b98b-e618cf84b89e,odc-by,"CSV,XLSX,JSON",d
,,x,,,,,,,x,,,x,,,,Straßen,http://www.opendata-hro.de/dataset/36e3596b-71d4-4bcb-bf03-040e662b5136,odc-by,"CSV,XLSX,GEOJSON,SHAPEFILE,KML,GML,WMS",d
,,,,,,,x,,,,,,,,,Europaparlamentswahl 2009,http://www.opendata-hro.de/dataset/c7629958-542f-49d4-ad38-ec3b85700107,odc-by,"CSV,XLSX,JSON",d
x,,,,,,x,,x,,,,,,,,Begegnungszentren,http://www.opendata-hro.de/dataset/4b3353d0-965a-4c9a-b191-9bd6a9599730,odc-by,"CSV,XLSX,GEOJSON,KML,GML,WMS",d
,,,,,x,,,,,,,,,,,Mobilfunkantennen,http://www.opendata-hro.de/dataset/ba932851-6d18-482f-b9fc-98cd156ac7bc,odc-by,"CSV,GEOJSON,KML,GML,WMS",d
x,,,,,,,,,,,,x,,,,Bevölkerungsstruktur 2006,http://www.opendata-hro.de/dataset/95235ea3-87a2-4a9a-aedc-f171107ead85,odc-by,"XLSX,CSV,JSON",d
,,,,,x,,,,x,,,,,,,Baustellen,http://www.opendata-hro.de/dataset/fb03c3c5-cae0-41cd-9256-5472b0677377,odc-by,"CSV,XLSX,GEOJSON,GEORSS,KML,GML,WMS",d
