Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Geplantes und durchgeführtes Programm 2011 und 2012 der VHS Moers,https://www.govdata.de/daten/-/details/6a6aefad-4bd0-5bf0-b926-031cc979afaa,dl-de-by-1.0,APPLICATION/CSV,d,,,,,,,,,,,,,,,,,,,,,,x,
Gliederung nach Veranstaltungsformen der VHS 2012 Moers,https://www.govdata.de/daten/-/details/c3fc9408-8c59-5e9d-a704-bf8c552d138c,dl-de-by-1.0,APPLICATION/CSV,d,,,,,,,,,,,,,,,,,,,,,,x,
Räumliche Verteilung der Veranstaltungen der VHS 2012 Moers,https://www.govdata.de/daten/-/details/257b3822-129d-55e0-9519-9dce7eaad39f,dl-de-by-1.0,APPLICATION/CSV,d,,,,,,,,,,,,,,,,,,,,,,x,
Angebotsentwicklung in Unterrichtseinheiten der VHS Moers,https://www.govdata.de/daten/-/details/d964d444-c8dd-5db3-9941-685ec31c25f5,dl-de-by-1.0,APPLICATION/CSV,d,,,,,,,,,,,,,,,,,,,,,,x,
