Bearbeitungsdatum,bearbeitet von,Stadt,URL Datei,URL Text,Format,Dateibezeichnung,Zeitraum,Dateityp,Beschreibung,Lizenz,Kosten,Datenquelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,keyword
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/parkhausbelegung ,Parkhausbelegung,json,Parkhausbelegung,2013,Daten,Parkhausbelegung in Köln,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,,,,,,,,,,x,,,,,,,,Verkehrsdaten
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/opendata-endpoint-zur-l%C3%A4rmaktionsplanung ,OpenData Endpoint zur Lärmaktionsplanung,json,OpenData Endpoint zur Lärmaktionsplanung ,2013,Daten,Bürgerbeteiligung an der Lärmaktionsplanung der Stadt Köln ,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,x,,,,,,,,,,,,x,,,,,,,,eParticipation
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/verkehrskalender-der-stadt-k%C3%B6ln ,Verkehrskalender der Stadt Köln,json,Verkehrskalender der Stadt Köln ,2013,Daten,Verkehrskalender der Stadt Köln ,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,,,,,,,,,,x,,,,,,,,Verkehrsdaten
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/vorstudie-opendata ,Vorstudie OpenData,pdf,Vorstudie OpenData,2013,Daten,Vorstudie des Fraunhofer Fokus zum Themenkomplex “Offene Daten in Köln”,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,,,,,,,,,,,,,,,,,x,Konzepte
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/bezirkeeinzeldarstellung ,Bezirke_Einzeldarstellung,csv,Bezirke_Einzendarstellung,2014,zwei Datensätze,Haushaltsplan 2012 – Einzeldarstellung für die Stadtbezirke,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,x,,,,,,,,,,,,,,,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/teilfinanzplan ,Teilfinanzplan,csv,Teilfinanzplan,2014,zwei Datensätze,Haushaltsplan 2012 der Stadt Köln.,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,x,,,,,,,,,,,,,,,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/teilergebnisplan ,Teilergebnisplan,csv,Teilergebnisplan,2014,zwei Datensätze,Haushaltsplan 2012 und 2013/2014 der Stadt Köln,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,x,,,,,,,,,,,,,,,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/gesamtfinanzplan ,Gesamtfinanzplan,csv,Gesamtfinanzplan,2014,zwei Datensätze,Gesamtfinanzplan der Stadt Köln,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,x,,,,,,,,,,,,,,x,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/gesamtergebnisplan ,Gesamtergebnisplan,csv,Gesamtergebnisplan,2014,zwei Datensätze,Gesamtergebnisplan der Stadt Köln,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,x,,,,,,,,,,,,,,,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/finanzplanproduktbereichssummen ,Finanzplan_Produktbereichssummen,csv,Finanzplan_Produktbereichssummen,2014,zwei Datensätze,Finanzplan und Produktbereichssummen ,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,,,,,,,,,,,,,,x,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/ergebnisplanproduktbereichssummen ,Ergebnisplan_Produktbereichssummen,csv,Ergebnisplan_Produktbereichssummen,2014,zwei Datensätze,Ergebnisplan und Produktbereichssummen,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,,,,,,,,,,,,,,x,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/bezirkeproduktgruppen ,Bezirke_Produktgruppen,csv,Bezirke_Produktgruppen,2014,zwei Datensätze,Bezirke und Produktgruppen,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,x,,,,,,,,,,,,,,,,x,,,,Haushalt
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/stadtteile ,Stadtteile,"data,xml, zip",Stadtteile,2013,drei Datensätze,"Kommunale Gebietsgliederung, Stadtstteile der Stadt Köln",Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,x,,,,,,,,,,,,,,,,,"Geo, Stadtteil"
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/stadtbezirke ,Stadtbezirke,"data,xml, zip",Stadtbezirke,2013,drei Datensätze,Stadtbezirke Köln,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,x,,,,,,,,,,,,,,,,,"Geo, Stadtbezirk"
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/tag-des-denkmals ,Tag des denkmals,json,Tag des denkmals,2013,Daten,"Daten aller Veranstaltungen, die in Zusammenhang mit dem “Tag des Denkmals"" stehen",Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,,,,,,x,,,,,,,,,,,,Termine
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/statistisches-jahrbuch-2011 ,Statistisches Jahrbuch 2011,pdf,Statistisches Jahrbuch 2011,2013,Daten,Statistisches Jahrbuch 2011,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,x,,,,,,,,,,,,,,,,,,,,Informationen
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/veranstaltungen-der-stadt-k%C3%B6ln ,Veranstaltungen der Stadt Köln,json,Veranstaltungen der Stadt Köln,2013,Daten,Veranstaltungen der Stadt Köln,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,x,,,,,x,,x,,,,,,,,,,Termine
26.06.2014,JK,,http://offenedaten-koeln.de/dataset/internetstadt-k%C3%B6ln ,Internetstadt Köln,pdf,Internetstadt Köln,2013,Daten,Konzept zur Internetstadt Köln,Creative Commons Namensnennung 3.0 Deutschland Lizenz,,,,,,,,,,,,,,,,,,,,,,,,"Konzepte, Informationen"
