Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Ney - Ebene: In den Schmidtstücken II 2. Änderung,http://www.daten.rlp.de/dataset/ce2f78e6-6a77-42cc-9d71-c9ac025a5d23,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Ney - Ebene: Klarstellungssatzung In der Hohl,http://www.daten.rlp.de/dataset/c462b1d1-da1f-42a4-97a6-902b482d0bb0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Ney - Ebene: Umringe der Bebauungspläne von Ney,http://www.daten.rlp.de/dataset/9a29e12a-a2c0-4095-9e66-46693bfa59e2,cc-nc,"KARTENVIEWER,WMS,HTML",d,,,,,x,,,,,,,,,,,,,,,,,,
Ney - Ebene: In den Kirchgärten 1. Änderung,http://www.daten.rlp.de/dataset/15e7f1d2-5ab2-47fd-8075-86468fc6c7a3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Ney - Ebene: Ergänzungssatzung Wiesenstraße / Kratzenburger Straße,http://www.daten.rlp.de/dataset/17a9736e-b719-4efb-a8ad-1f22169bd0eb,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Ney - Ebene: In den Schmidtstücken II,http://www.daten.rlp.de/dataset/498c5c0a-7f5d-4398-8838-b0e44d773be5,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
