Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,x,,,,,,,,,,,,,,Kappel - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/08e6ca8b-0fa5-42ee-a6b8-dba983ca414e,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Kludenbach - Ebene: Im Wäldchen,http://www.daten.rlp.de/dataset/09ed3eeb-c354-4c4d-a5af-f06a85a15f01,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Gemünden - Ebene: Auf´m Zeilbaum,http://www.daten.rlp.de/dataset/0784df8e-be90-4cf2-84fe-ed37629c3fcf,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Hirschfeld (Hunsrück) - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/8c42f65d-cfba-4e7a-90ca-f63f1d45a4f2,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Raversbeuren - Ebene: In den Kirchgärten,http://www.daten.rlp.de/dataset/55561f79-078d-453f-bb1f-d480309a0e25,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Niedersohren - Ebene: Jenseits der Bach 3. Änderung,http://www.daten.rlp.de/dataset/9f6e9f7d-f4c4-4b1c-bf1f-eb6ea3581182,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sohren - Ebene: In der Sitters,http://www.daten.rlp.de/dataset/25b2b079-be71-4fa9-8ae3-df38a1207057,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Schwarzen - Ebene: Im Flürchen,http://www.daten.rlp.de/dataset/97b51519-8d9a-4918-bdab-2e54c8af3f71,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Gemünden - Ebene: Auf´m Zeilbaum 1. Änderung,http://www.daten.rlp.de/dataset/c59519b7-4c46-4ad5-b898-50f1b3a6736a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Metzenhausen - Ebene: Umringe der Bebauungspläne von Metzenhausen,http://www.daten.rlp.de/dataset/9f400112-8588-428d-b089-3d80b3e6aa0d,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Dickenschied - Ebene: Auf dem Kappesacker  II,http://www.daten.rlp.de/dataset/d637f70c-aca3-4ced-bc40-f8928abf3d8f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Büchenbeuren - Ebene: Auf der Taubenacht,http://www.daten.rlp.de/dataset/f360a1c2-0dac-42b5-9e72-d42560c5e2f7,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Büchenbeuren - Ebene: Auf der Taubenacht 9. Änderung,http://www.daten.rlp.de/dataset/9319fa7c-c00c-44d2-9e53-0db30529f276,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Kludenbach - Ebene: Umringe der Bebauungspläne von Kludenbach,http://www.daten.rlp.de/dataset/5286105d-e2c0-4bbc-874a-29031a927d54,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Büchenbeuren - Ebene: Im Umgang,http://www.daten.rlp.de/dataset/076a6a9e-a20f-4db5-beaf-01800e38868d,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Woppenroth - Ebene: Kappesfelder 2. Änderung,http://www.daten.rlp.de/dataset/7d877ce4-fb56-4559-8750-85fe80c30f4f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Lautzenhausen - Ebene: Stellplatzsatzung,http://www.daten.rlp.de/dataset/20c94c10-355f-4271-b743-1650c2d5c71f,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Womrath - Ebene: Baugebiet in Flur 18 und 20 (Hasenrech),http://www.daten.rlp.de/dataset/3472b040-0f4a-443a-82ae-d15ae81905f6,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dickenschied - Ebene: Auf dem Kappesacker  II 1. Änderung,http://www.daten.rlp.de/dataset/ae39c1a5-1a29-4413-aa39-d7005bc30518,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dill - Ebene: Auf Beckersacker,http://www.daten.rlp.de/dataset/95cb4bb8-1357-47ff-80d0-4b5d11d61ecc,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Kappel - Ebene: Eschwies,http://www.daten.rlp.de/dataset/def3156e-e258-4ab3-becd-91561eaf4424,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Sohren - Ebene: Von Gräfenheck,http://www.daten.rlp.de/dataset/9b16e143-ed2a-47b0-849d-33b001825b25,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dill - Ebene: Auf Beckersacker 1. Änderung,http://www.daten.rlp.de/dataset/1e1dbc88-18d0-4e30-b87e-3d584e9f8d54,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Büchenbeuren - Ebene: Auf der Taubenacht 7. Änderung,http://www.daten.rlp.de/dataset/68069239-edf2-4e36-a806-26eb9fefeddc,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Bärenbach - Ebene: Am Koblenzer Tor,http://www.daten.rlp.de/dataset/c0e7e088-f232-4cdc-b45c-544e2a80de47,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Büchenbeuren - Ebene: Bahnhofstraße / Kirchstraße / Friedhof,http://www.daten.rlp.de/dataset/276b37bd-cb35-422a-8578-1e5e2d94f470,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Niederweiler - Ebene: Ergänzungssatzung An der K74,http://www.daten.rlp.de/dataset/6dd3476e-4bbc-4cb4-ba95-920c97662dd4,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,"Rohrbach - Ebene: Baugebiet in Flur 1, 11 und 12 1. Änderung",http://www.daten.rlp.de/dataset/78df92f3-011a-4cf0-bc45-8991e107ec3e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Büchenbeuren - Ebene: Süd-Ost,http://www.daten.rlp.de/dataset/7d2d52c5-f3e8-45b7-b5c8-60364290abf6,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Todenroth - Ebene: Am Feldrain,http://www.daten.rlp.de/dataset/5acd4088-527a-4c68-8e91-36fa6c2fda8b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Lautzenhausen - Ebene: Unterdorf I,http://www.daten.rlp.de/dataset/e80a87f5-0c63-4536-af77-9fcb5bbebe89,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Woppenroth - Ebene: Umringe der Bebauungspläne von Woppenroth,http://www.daten.rlp.de/dataset/537c773e-dccd-4f8c-b9fe-c45bd14b4cfe,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Woppenroth - Ebene: Baugebiet in Flur 3 und 4 (Im Steitz) 1. Änderung,http://www.daten.rlp.de/dataset/bf98b484-94ff-4a79-994d-daeeadc9fbbc,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Dill - Ebene: Umringe der Bebauungspläne von Dill,http://www.daten.rlp.de/dataset/3e0a0c60-a1ba-4991-a0dd-8e2bee834087,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Womrath - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/b06d130c-ae14-4922-903f-36f15d50e723,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Rohrbach - Ebene: Bebauungspläne,http://www.daten.rlp.de/dataset/43191524-8b9e-48aa-b2f1-06975212a55c,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Lindenschied - Ebene: Am Auerweg 1. Änderung,http://www.daten.rlp.de/dataset/4fedd40f-ea17-4017-bdc6-f7f0cc7877f9,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Laufersweiler - Ebene: Dellenbaum,http://www.daten.rlp.de/dataset/430cd1d8-6e9a-4fc7-a9c1-526333e09541,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Heinzenbach - Ebene: Gewerbegebiet in Flur 3 u. 5,http://www.daten.rlp.de/dataset/5a300e18-72c3-4843-b716-aa19e89e5b0b,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Lindenschied - Ebene: Umringe der Bebauungspläne von Lindenschied,http://www.daten.rlp.de/dataset/05dbfa65-3637-443d-94d4-7dc0adfe6e37,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Lautzenhausen - Ebene: Wassergall 2. Änderung,http://www.daten.rlp.de/dataset/2d31e360-7c73-470e-bca6-5ffb275c8ada,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Niederweiler - Ebene: Im Umring,http://www.daten.rlp.de/dataset/8b79d033-3c7c-48dc-bf66-6fc8f18ecd7a,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Dickenschied - Ebene: Auf der Länger IV,http://www.daten.rlp.de/dataset/fd499cec-a7ae-47a2-ae91-d9cc279922a0,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Reckershausen - Ebene: Umringe der Bebauungspläne von Reckershausen,http://www.daten.rlp.de/dataset/202adb3d-c2b9-4887-846c-429146dc361e,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Sohren - Ebene: Im Grund,http://www.daten.rlp.de/dataset/1a3e66f2-fc8f-4a27-a07b-252e213261e3,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Unzenberg - Ebene: Hambucher Weg 1. Änderung,http://www.daten.rlp.de/dataset/3ea647c3-ed40-4a6a-939e-c2e4a251b9ae,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,x,x,,,,,,,,,,,,,,Niedersohren - Ebene: Perweid / Beim Kohlhauf 3. Änderung,http://www.daten.rlp.de/dataset/2bf59c44-0f13-4d98-abaa-cb7029be5e9f,cc-nc,"KARTENVIEWER,WMS,HTML",d
,,x,,,,,,,,,,,,,,Rohrbach - Ebene: Umringe der Bebauungspläne von Rohrbach,http://www.daten.rlp.de/dataset/0f13ce44-d00e-4ca0-8746-c6b16c225774,cc-nc,"KARTENVIEWER,WMS,HTML",d
,x,x,,,,,,,,,,,,,,Büchenbeuren - Ebene: Auf der Taubenacht 2. Änderung,http://www.daten.rlp.de/dataset/8df5b8af-8ae4-4ced-b877-93051f5d2b23,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d
,,x,,,,,,,,,,,,,,Schwarzen - Ebene: Umringe der Bebauungspläne von Schwarzen,http://www.daten.rlp.de/dataset/158cff10-062c-4365-a288-83a6c29e08eb,cc-nc,"KARTENVIEWER,WMS,HTML",d
