Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,x,,,,,,,,,,,,,,,"Datenkompass – Erziehung und Bildung, Landkreis Bad Kreuznach –",http://www.daten.rlp.de/dataset/4cd2da9f-83b5-406a-8a7e-80a871a6d8b9,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaft, Landkreis Bad Kreuznach –",http://www.daten.rlp.de/dataset/39d8db1c-9689-4981-9be9-5690ae59d7d0,dl-de-by-1.0,PDF,d
,,,,,,x,,,,,,,,,,"Datenkompass – Tourismus, Landkreis Bad Kreuznach –",http://www.daten.rlp.de/dataset/600b86c0-d6e0-46b8-a52a-0f90e5d72e09,dl-de-by-1.0,PDF,d
,,,,x,,,,x,,,,,,,,"Datenkompass – Soziales und Gesundheit, Landkreis Bad Kreuznach –",http://www.daten.rlp.de/dataset/daf3bb60-a2fe-4b4e-8bfe-ebec49446a2f,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Wirtschaftliche Entwicklungspotenziale, Landkreis Bad Kreuznach –",http://www.daten.rlp.de/dataset/b576bd5d-219b-498a-a1d3-479ea04c9a46,dl-de-by-1.0,PDF,d
,,,,,,,,,,,,,x,,,"Datenkompass – Arbeitsmarkt, Erwerbstätigkeit, Landkreis Bad Kreuznach –",http://www.daten.rlp.de/dataset/b99e12ce-b4b3-4487-9f73-f992d1b6a318,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, VG-Ebene, Landkreis Bad Kreuznach -",http://www.daten.rlp.de/dataset/e7e15610-c7fe-404b-9128-c7ee9b907659,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Datenkompass - Bevölkerung und Gebiet, Haushalte und Familien, Landkreis Bad Kreuznach -",http://www.daten.rlp.de/dataset/88001b85-736f-4367-a497-ff32656fad73,dl-de-by-1.0,PDF,d
x,,,,,,,,,,,,,,,,"Demografischer Wandel - Bevölkerungsvorausberechnung, Landkreis Bad Kreuznach -",http://www.daten.rlp.de/dataset/128c0697-4855-44fb-9a90-ff6fbc46d6db,dl-de-by-1.0,PDF,d
