Dateibezeichnung,URL,Lizenz,Format,Quelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Verwaltung,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
Kratzenburg - Ebene: Hellerwald II 2. Änderung,http://www.daten.rlp.de/dataset/25a0370e-80b6-4680-a64f-b0d881d94432,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Kratzenburg - Ebene: Hellerwald II 1. Änderung,http://www.daten.rlp.de/dataset/98f6c0c7-2aa9-42aa-9f97-5e9f70667b5e,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
Kratzenburg - Ebene: Ergänzungssatzung Hauptstraße 32,http://www.daten.rlp.de/dataset/e482825d-91fc-4090-ae58-60632ad223e6,cc-nc,"KARTENVIEWER,WMS,GDI DOWNLOAD,HTML",d,,,x,,x,,,,,,,,,,,,,,,,,,
