Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,,,,,,,Stadtmodell Dresden,http://stadtmodell.dresden.de/start_dresden.kmz,nicht bekannt,KMZ,b
,,,,,,x,,,,,,,,,,Verzeichnis von Einrichtungen,http://www.dresden.de/media/pdf/buergerengagement/externe_Raeume1.xlsx,nicht bekannt,XLSX,b
,,,,,,,,,,,,,x,,,Bildungszielplanung 2014,http://www.dresden.de/media/pdf/arge/FbW_JC_BZP_2014_JC_DD.xls,,XLS,g
,,x,,,x,,,,,,,,,,,Straßenverzeichnis,http://www.dresden.de/media/pdf/wahlen/Strassenverzeichnis_KWK_2014.xls,nicht bekannt,XLS,b
,,x,,,x,,,,,,,,,,,Straßenverzeichnis,http://www.dresden.de/media/pdf/wahlen/Strassenverzeichnis_LWK_2014.xls,nicht bekannt,XLS,b
,,,,,,,,,,,,,x,,,Tabellen Arbeitsmarkt August 2011,http://www.dresden.de/media/pdf/arge/Dresden-Tabellen.xlsx,,XLSX,g
